fips,unemp
21049,4.8
21051,10.2
21053,5.6
21055,3.4
21057,3.0
21059,4.4
21061,6.8
21063,6.7
21065,7.2
21067,5.0
21069,6.9
21071,7.1
21073,5.6
21075,7.3
21077,3.5
21079,6.1
21081,4.7
21083,4.0
21085,5.1
21087,8.5
21089,5.8
21091,3.9
21093,6.7
21095,11.0
21097,2.9
21099,4.5
21101,3.0
21103,3.9
21105,4.0
21107,6.4
21109,5.8
21111,4.8
21113,3.2
21115,4.7
21117,3.8
21119,11.6
21121,7.9
21123,1.8
21125,3.6
21127,6.0
21129,7.1
21131,7.4
21133,5.8
21135,7.6
21137,7.6
21139,4.7
21141,4.8
21143,3.5
21145,3.1
21147,2.3
21149,6.6
21151,5.3
21153,12.4
21155,5.5
21157,3.7
21159,5.9
21161,4.8
21163,3.7
21165,4.9
21167,2.9
21169,5.4
21171,4.2
21173,4.1
21175,3.9
21177,4.1
21179,3.1
21181,7.2
21183,5.2
21185,3.3
21187,5.2
21189,11.3
21191,4.9
21193,5.9
21195,6.2
21197,7.1
21199,5.2
21201,8.6
21203,6.1
21205,4.3
21207,6.0
21209,4.0
21211,2.8
21213,3.9
21215,5.9
21217,5.0
21219,3.4
21221,4.1
21223,7.8
21225,3.1
21227,4.5
21229,4.2
21231,4.9
21233,5.4
21235,5.2
21237,15.8
21239,3.5
22001,7.8
22003,13.7
22005,4.5
22007,4.9
22009,6.8
22011,7.5
22013,6.3
22015,5.6
22017,8.4
22019,5.5
22021,9.9
22023,0.9
22025,6.3
22027,4.9
22029,11.7
22031,6.1
22033,7.6
22035,12.6
22037,6.0
22039,10.9
22041,9.8
22043,4.5
22045,6.1
22047,6.1
22049,5.8
22051,5.9
22053,4.7
22055,5.0
22057,5.5
22059,7.6
22061,4.1
22063,4.1
22065,5.1
22067,9.9
22069,6.2
22071,7.8
22073,6.6
22075,4.5
22077,8.4
22079,4.9
22081,3.2
22083,8.4
22085,6.5
22087,7.4
22089,6.3
22091,21.3
22093,5.4
22095,9.0
22097,5.6
22099,5.1
22101,5.4
22103,4.8
22105,5.3
22107,13.3
22109,4.7
22111,5.8
22113,5.2
22115,6.2
22117,10.8
22119,5.4
22121,6.6
22123,3.8
22125,6.0
22127,4.3
23001,4.2
23003,5.4
23005,3.2
23007,5.3
23009,3.7
23011,4.1
23013,3.9
23015,3.5
23017,4.8
23019,4.1
23021,4.1
23023,4.6
23025,3.9
23027,4.4
23029,6.6
23031,3.5
24001,5.9
24003,4.0
24005,5.0
24009,2.9
24011,5.4
24013,3.2
24015,4.6
24017,5.2
24019,4.8
24021,3.4
24023,4.6
24025,3.8
24027,3.6
24029,2.8
24031,4.8
24033,6.4
24035,3.7
24037,3.8
24039,5.7
24041,3.8
24043,4.9
24045,6.4
24047,6.4
24510,6.6
25001,4.6
25003,5.6
25005,5.6
25007,6.7
25009,5.1
25011,6.2
25013,6.0
25015,5.1
25017,4.2
25019,5.3
25021,4.9
25023,5.1
25025,6.2
25027,5.3
26001,5.0
26003,6.3
26005,3.0
26007,7.1
26009,4.1
26011,6.3
26013,6.4
26015,5.2
26017,4.6
26019,4.1
26021,6.5
26023,5.2
26025,6.8
26027,4.6
26029,3.8
26031,7.0
26033,6.1
26035,8.5
26037,3.7
26039,7.2
26041,5.1
26043,4.1
26045,4.4
26047,3.6
26049,8.3
26051,6.2
26053,6.9
26055,3.6
26057,4.7
26059,4.5
26061,5.7
26063,4.6
26065,6.3
26067,4.9
26069,7.3
26071,4.7
26073,6.8
26075,5.8
26077,5.6
26079,4.3
26081,4.2
26083,4.8
26085,7.6
26087,5.1
26089,3.9
26091,5.4
26093,3.7
26095,9.9
26097,9.4
26099,5.8
26101,6.2
26103,4.9
26105,4.6
26107,5.0
26109,5.6
26111,4.8
26113,7.2
26115,5.0
26117,4.0
26119,6.1
26121,6.8
26123,4.4
26125,4.8
26127,5.7
26129,7.3
26131,7.6
26133,6.5
26135,8.8
26137,4.5
26139,3.6
26141,6.3
26143,4.8
26145,6.6
26147,6.4
26149,5.2
26151,6.1
26153,6.7
26155,4.4
26157,6.2
26159,4.4
26161,4.4
26163,8.7
26165,5.7
27001,5.8
27003,3.9
27005,4.0
27007,5.1
27009,4.0
27011,3.0
27013,4.2
27015,2.6
27017,4.0
27019,3.1
27021,5.9
27023,4.4
27025,3.9
27027,3.9
27029,7.4
27031,2.4
27033,3.9
27035,5.2
27037,3.6
27039,3.1
27041,2.7
27043,3.8
27045,2.9
27047,3.8
27049,3.6
27051,3.1
27053,4.3
27055,1.9
27057,4.6
27059,4.1
27061,5.8
27063,2.4
27065,4.9
27067,3.6
27069,4.4
27071,4.2
27073,1.8
27075,2.4
27077,1.8
27079,4.1
27081,2.7
27083,3.4
27085,3.3
27087,10.2
27089,3.0
27091,4.4
27093,2.6
27095,4.4
27097,3.5
27099,3.7
27101,2.6
27103,1.6
27105,2.6
27107,5.1
