"x","y","z","facecolor","i","j","k"
"214.90699768066406","46.38999938964844","63.10240173339844","rgb(66,64,134)","24","26","166"
"223.97999572753906","46.38999938964844","0.0","rgb(66,65,134)","22","24","18"
"188.4239959716797","46.38999938964844","121.09300231933594","rgb(31,150,139)","38","39","41"
"146.67599487304688","46.38999938964844","169.2729949951172","rgb(38,129,142)","180","169","168"
"93.04460144042969","46.38999938964844","203.73899841308594","rgb(35,138,141)","170","174","168"
"31.875600814819336","46.38999938964844","221.6999969482422","rgb(33,145,140)","181","168","174"
"-31.875600814819336","46.38999938964844","221.6999969482422","rgb(36,135,142)","182","168","181"
"-93.04460144042969","46.38999938964844","203.73899841308594","rgb(37,132,142)","183","180","168"
"-146.67599487304688","46.38999938964844","169.2729949951172","rgb(37,132,142)","182","183","168"
"-188.4239959716797","46.38999938964844","121.09300231933594","rgb(35,138,141)","176","179","169"
"-206.31300354003906","44.80009841918945","0.0","rgb(31,150,139)","175","176","169"
"-210.06100463867188","46.403099060058594","0.0","rgb(33,145,140)","184","175","169"
"-214.90699768066406","46.38999938964844","63.10240173339844","rgb(36,135,142)","180","184","169"
"-205.3459930419922","44.80270004272461","-20.005399703979492","rgb(35,138,141)","177","178","179"
"-217.48399353027344","47.49480056762695","0.0","rgb(32,147,140)","176","177","179"
"-202.9029998779297","46.403099060058594","-54.367698669433594","rgb(31,160,136)","185","174","175"
"-202.4429931640625","44.80540084838867","-39.82310104370117","rgb(30,156,137)","186","185","175"
"-199.18800354003906","43.0","-7.105430068106433e-14","rgb(30,156,137)","187","186","175"
